year,borough,hour,injured,killed
2016,Brooklyn,14,1659,0
2016,Brooklyn,15,1687,2
2016,Brooklyn,16,1709,0
2016,Brooklyn,17,1903,8
2016,Brooklyn,18,1912,4
2016,Brooklyn,19,1530,2
2016,Brooklyn,20,1470,2
2016,Brooklyn,21,1214,6
2016,Brooklyn,22,1034,2
2016,Brooklyn,23,874,2
2016,Manhattan,0,521,0
2016,Manhattan,1,286,0
2016,Manhattan,2,294,2
2016,Manhattan,3,230,4
2016,Manhattan,4,262,2
2016,Manhattan,5,228,0
2016,Manhattan,6,280,2
2016,Manhattan,7,301,0
2016,Manhattan,8,473,2
2016,Manhattan,9,440,2
2016,Manhattan,10,507,10
2016,Manhattan,11,541,2
2016,Manhattan,12,708,0
2016,Manhattan,13,615,4
2016,Manhattan,14,768,2
2016,Manhattan,15,694,2
2016,Manhattan,16,807,6
2016,Manhattan,17,860,6
2016,Manhattan,18,810,4
2016,Manhattan,19,699,6
2016,Manhattan,20,659,4
2016,Manhattan,21,618,4
2016,Manhattan,22,509,4
2016,Manhattan,23,417,0
2016,Queens,0,655,4
2016,Queens,1,300,0
2016,Queens,2,204,2
2016,Queens,3,242,2
2016,Queens,4,298,6
2016,Queens,5,388,0
2016,Queens,6,488,8
2016,Queens,7,790,2
2016,Queens,8,1292,4
2016,Queens,9,996,4
2016,Queens,10,884,2
2016,Queens,11,964,4
2016,Queens,12,1117,8
2016,Queens,13,1160,4
2016,Queens,14,1328,4
2016,Queens,15,1307,0
2016,Queens,16,1456,0
2016,Queens,17,1650,4
2016,Queens,18,1557,0
2016,Queens,19,1298,2
2016,Queens,20,1171,0
2016,Queens,21,784,2
2016,Queens,22,842,0
2016,Queens,23,692,0
2016,Staten Island,0,98,0
2016,Staten Island,1,40,0
2016,Staten Island,2,34,2
2016,Staten Island,3,26,0
2016,Staten Island,4,20,2
2016,Staten Island,5,38,0
2016,Staten Island,6,62,0
2016,Staten Island,7,95,0
2016,Staten Island,8,218,0
2016,Staten Island,9,108,2
2016,Staten Island,10,128,2
2016,Staten Island,11,194,2
2016,Staten Island,12,112,2
2016,Staten Island,13,162,2
2016,Staten Island,14,179,0
2016,Staten Island,15,244,0
